date,Travel Insurance
2022-07-17,72
2022-07-24,76
2022-07-31,75
2022-08-07,75
2022-08-14,75
2022-08-21,71
2022-08-28,71
2022-09-04,67
2022-09-11,60
2022-09-18,57
2022-09-25,53
2022-10-02,54
2022-10-09,49
2022-10-16,43
2022-10-23,38
2022-10-30,37
2022-11-06,36
2022-11-13,37
2022-11-20,33
2022-11-27,32
2022-12-04,32
2022-12-11,36
2022-12-18,30
2022-12-25,39
2023-01-01,69
2023-01-08,71
2023-01-15,75
2023-01-22,71
2023-01-29,71
2023-02-05,66
2023-02-12,61
2023-02-19,60
2023-02-26,64
2023-03-05,61
2023-03-12,58
2023-03-19,63
2023-03-26,64
2023-04-02,61
2023-04-09,67
2023-04-16,66
2023-04-23,72
2023-04-30,70
2023-05-07,69
2023-05-14,72
2023-05-21,72
2023-05-28,76
2023-06-04,77
2023-06-11,74
2023-06-18,85
2023-06-25,77
2023-07-02,80
2023-07-09,71
2023-07-16,71
2023-07-23,74
2023-07-30,70
2023-08-06,67
2023-08-13,67
2023-08-20,65
2023-08-27,73
2023-09-03,67
2023-09-10,63
2023-09-17,59
2023-09-24,54
2023-10-01,54
2023-10-08,49
2023-10-15,42
2023-10-22,36
2023-10-29,38
2023-11-05,35
2023-11-12,35
2023-11-19,32
2023-11-26,31
2023-12-03,32
2023-12-10,33
2023-12-17,34
2023-12-24,39
2023-12-31,57
2024-01-07,65
2024-01-14,62
2024-01-21,60
2024-01-28,57
2024-02-04,60
2024-02-11,58
2024-02-18,53
2024-02-25,56
2024-03-03,55
2024-03-10,56
2024-03-17,59
2024-03-24,60
2024-03-31,61
2024-04-07,55
2024-04-14,60
2024-04-21,59
2024-04-28,66
2024-05-05,61
2024-05-12,64
2024-05-19,65
2024-05-26,75
2024-06-02,73
2024-06-09,74
2024-06-16,68
2024-06-23,71
2024-06-30,72
2024-07-07,68
2024-07-14,69
2024-07-21,72
2024-07-28,69
2024-08-04,70
2024-08-11,72
2024-08-18,69
2024-08-25,69
2024-09-01,73
2024-09-08,63
2024-09-15,58
2024-09-22,57
2024-09-29,55
2024-10-06,52
2024-10-13,46
2024-10-20,42
2024-10-27,40
2024-11-03,39
2024-11-10,36
2024-11-17,37
2024-11-24,39
2024-12-01,37
2024-12-08,34
2024-12-15,39
2024-12-22,37
2024-12-29,51
2025-01-05,64
2025-01-12,67
2025-01-19,64
2025-01-26,57
2025-02-02,58
2025-02-09,57
2025-02-16,58
2025-02-23,59
2025-03-02,66
2025-03-09,65
2025-03-16,70
2025-03-23,65
2025-03-30,65
2025-04-06,63
2025-04-13,64
2025-04-20,60
2025-04-27,67
2025-05-04,72
2025-05-11,70
2025-05-18,75
2025-05-25,75
2025-06-01,79
2025-06-08,69
2025-06-15,70
2025-06-22,78
2025-06-29,80
2025-07-06,82
2025-07-13,100
